ticker symbol,company,sector,location
MMM,3M Company,Industrials,"St. Paul, Minnesota"
ABT,Abbott Laboratories,Health Care,"North Chicago, Illinois"
ABBV,AbbVie Inc.,Health Care,"North Chicago, Illinois"
ACN,Accenture plc,Information Technology,"Dublin, Ireland"
ATVI,Activision Blizzard,Information Technology,"Santa Monica, California"
AYI,Acuity Brands Inc,Industrials,"Atlanta, Georgia"
ADBE,Adobe Systems Inc,Information Technology,"San Jose, California"
AMD,Advanced Micro Devices Inc,Information Technology,"Sunnyvale, California"
AAP,Advance Auto Parts,Consumer Discretionary,"Roanoke, Virginia"
AES,AES Corp,Utilities,"Arlington, Virginia"
AET,Aetna Inc,Health Care,"Hartford, Connecticut"
AMG,Affiliated Managers Group Inc,Financials,"Beverly, Massachusetts"
AFL,AFLAC Inc,Financials,"Columbus, Georgia"
A,Agilent Technologies Inc,Health Care,"Santa Clara, California"
APD,Air Products & Chemicals Inc,Materials,"Allentown, Pennsylvania"
AKAM,Akamai Technologies Inc,Information Technology,"Cambridge, Massachusetts"
ALK,Alaska Air Group Inc,Industrials,"Seattle, Washington"
ALB,Albemarle Corp,Materials,"Baton Rouge, Louisiana"
ARE,Alexandria Real Estate Equities Inc,Real Estate,"Pasadena, California"
ALXN,Alexion Pharmaceuticals,Health Care,"Cheshire, Connecticut"
ALGN,Align Technology,Health Care,"San Jose, California"
ALLE,Allegion,Industrials,"Dublin, Ireland"
AGN,"Allergan, Plc",Health Care,"Dublin, Ireland"
ADS,Alliance Data Systems,Information Technology,"Plano, Texas"
LNT,Alliant Energy Corp,Utilities,"Madison, Wisconsin"
ALL,Allstate Corp,Financials,"Northfield Township, Illinois"
GOOGL,Alphabet Inc Class A,Information Technology,"Mountain View, California"
GOOG,Alphabet Inc Class C,Information Technology,"Mountain View, California"
MO,Altria Group Inc,Consumer Staples,"Richmond, Virginia"
AMZN,Amazon.com Inc,Consumer Discretionary,"Seattle, Washington"
AEE,Ameren Corp,Utilities,"St. Louis, Missouri"
AAL,American Airlines Group,Industrials,"Fort Worth, Texas"
AEP,American Electric Power,Utilities,"Columbus, Ohio"
AXP,American Express Co,Financials,"New York, New York"
AIG,"American International Group, Inc.",Financials,"New York, New York"
AMT,American Tower Corp A,Real Estate,"Boston, Massachusetts"
AWK,American Water Works Company Inc,Utilities,"Voorhees, New Jersey"
AMP,Ameriprise Financial,Financials,"Minneapolis, Minnesota"
ABC,AmerisourceBergen Corp,Health Care,"Chesterbrook, Pennsylvania"
AME,AMETEK Inc,Industrials,"Berwyn, Pennsylvania"
AMGN,Amgen Inc,Health Care,"Thousand Oaks, California"
APH,Amphenol Corp,Information Technology,"Wallingford, Connecticut"
APC,Anadarko Petroleum Corp,Energy,"The Woodlands, Texas"
ADI,"Analog Devices, Inc.",Information Technology,"Norwood, Massachusetts"
ANDV,Andeavor,Energy,"San Antonio, Texas"
ANSS,ANSYS,Information Technology,"Canonsburg, Pennsylvania"
ANTM,Anthem Inc.,Health Care,"Indianapolis, Indiana"
AON,Aon plc,Financials,London
AOS,A.O. Smith,Industrials,"Milwaukee, Wisconsin"
APA,Apache Corporation,Energy,"Houston, Texas"
AIV,Apartment Investment & Management,Real Estate,"Denver, Colorado"
AAPL,Apple Inc.,Information Technology,"Cupertino, California"
AMAT,Applied Materials Inc,Information Technology,"Santa Clara, California"
ADM,Archer-Daniels-Midland Co,Consumer Staples,"Decatur, Illinois"
ARNC,Arconic Inc,Industrials,"New York, New York"
AJG,Arthur J. Gallagher & Co.,Financials,"Itasca, Illinois"
AIZ,Assurant Inc,Financials,"New York, New York"
T,AT&T Inc,Telecommunication Services,"Dallas, Texas"
ADSK,Autodesk Inc,Information Technology,"San Rafael, California"
ADP,Automatic Data Processing,Information Technology,"Roseland, New Jersey"
AZO,AutoZone Inc,Consumer Discretionary,"Memphis, Tennessee"
AVB,"AvalonBay Communities, Inc.",Real Estate,"Arlington, Virginia"
AVY,Avery Dennison Corp,Materials,"Glendale, California"
BHGE,"Baker Hughes, a GE Company",Energy,"Houston, Texas"
BLL,Ball Corp,Materials,"Broomfield, Colorado"
BAC,Bank of America Corp,Financials,"Charlotte, North Carolina"
BK,The Bank of New York Mellon Corp.,Financials,"New York, New York"
BCR,Bard (C.R.) Inc.,Health Care,"Murray Hill, New Jersey"
BAX,Baxter International Inc.,Health Care,"Deerfield, Illinois"
BBT,BB&T Corporation,Financials,"Winston-Salem, North Carolina"
BDX,Becton Dickinson,Health Care,"Franklin Lakes, New Jersey"
